steering_angle,throttle,brake,distance_to_object,position_x,position_y,position_z,rotation_yaw,rotation_pitch,rotation_roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lidar_mean_distance,radar_mean_distance,radar_mean_velocity,depth_mean,speed_kmh
0,0,0,0.429176301,178.2900391,302.5700073,0.214596093,-179.9996338,0,0,0,0,9.499248505,-1.09E-07,5.05E-07,2.20E-12,3.752207279,12.4050523,-0.000278184,10.908288,0.177609538
0.013282555,0.850000024,0,0.438518137,178.2900391,302.5700073,0.219262883,-179.9996338,0,0,0,0,9.63775444,-2.03E-07,8.05E-08,1.02E-10,4.05247736,7.611204935,0.000756031,10.909306,0.067528629
0.013282555,0.850000024,0,0.00183263,178.2900391,302.5700073,0.220919877,-179.9996338,0,0,0,0,9.743935585,3.86E-07,-1.38E-07,1.36E-12,2.714164019,6.388752719,0.033911869,10.897431,0.022454373
0.013282555,0.850000024,0,0.002902711,178.2900391,302.5700073,0.221451834,-179.9996338,0,0,0,0,9.787959099,2.65E-07,-2.88E-08,2.86E-12,2.414459229,4.954009021,0.04296986,10.898938,0.006948131
0.013231527,0.850000024,0,0.00264076,178.2374115,302.5695801,0.221325263,-179.9823608,0.043303397,-0.001464844,15.97238731,0.115336493,9.724198341,0.000359428,-0.012944597,0.006928724,2.717429161,3.792546494,-0.612862789,10.900049,4.410787481
0.011566598,0.850000024,0,0.002127362,177.9232025,302.5672913,0.221075431,-179.8938293,0.098006383,-0.002655029,8.366954803,0.074982241,9.815787315,7.68E-05,-0.001493068,0.013036471,2.684759855,3.406953243,-2.10169883,10.893567,9.722308388
-0.001442712,0.850000024,0,0.002211082,177.4340057,302.5639343,0.221110106,-179.8128052,0.095520191,0.000253951,6.570694447,-0.211457953,9.80211544,-0.000878028,0.001130935,-0.00027646,2.512434959,2.400252211,-3.203509087,10.93202,13.40734606
0.00138405,0.850000024,0,0.002348548,176.8052521,302.5613403,0.221181631,-179.7946472,0.084298193,0.000340844,5.649421692,-0.01025366,9.800819397,7.57E-05,0.001228682,0.00242711,2.646757126,5.707450351,-3.256337548,10.960355,16.51827442
0.001010761,0.850000024,0,0.003035381,176.052002,302.558075,0.221525222,-179.7745361,0.075132079,-6.10E-05,5.247951508,0.00941065,9.815265656,1.56E-05,0.001729156,0.001922914,2.294833183,5.398793305,-4.739923805,11.011981,19.31003351
0.000673231,0.850000024,0,0.003350245,175.2314758,302.5543823,0.221679762,-179.7577515,0.048692416,-0.000152588,2.843337536,-0.001959687,9.789530754,5.28E-06,0.000902469,0.001517267,1.689484239,5.139192849,-4.707560927,11.077962,20.39398996
0.00062201,0.850000024,0,0.003189313,174.3332214,302.5502625,0.221596211,-179.7443695,0.050973698,-0.000244141,4.628813267,0.00942928,9.80555439,5.69E-06,-0.000694007,0.002510071,1.807218552,9.907037746,-3.315015511,11.152451,22.70041687
-0.000175733,0.850000024,0,0.002974197,173.3204803,302.5456543,0.221501008,-179.7350769,0.061635625,-6.10E-05,6.020342827,-0.057776578,9.802680016,2.62E-05,-0.001158536,0.011537023,2.413707972,5.844949443,-4.731727239,11.074585,25.75116702
-0.000175733,0.850000024,0,0.002917026,172.5759888,302.5421753,0.221468538,-179.7373199,0.065576643,-0.00012207,5.6863451,0.014003195,9.803986549,-0.000137145,-0.000860475,-0.012513483,2.068546057,6.319984104,-6.610159297,11.001743,27.74216799
-0.002744823,0.143555626,0,0.002927659,171.3610535,302.5382996,0.221472964,-179.8025818,0.0637803,0.002384755,4.05079937,-0.044327162,9.814030647,2.55E-05,0.00185668,-0.008401919,2.285176277,7.398813203,-6.399954528,10.944129,30.16322176
-0.001497906,0,0.112803429,0.00332046,170.0986023,302.5353699,0.221666515,-179.8606873,0.030428492,0.001693046,-1.139881968,-0.03750591,9.813554764,5.29E-05,0.00443323,-0.005361217,1.929708838,5.461022568,-6.232734403,10.873481,30.08044434
-0.000983484,0.280472785,0,0.003702483,168.8723145,302.5330811,0.221855462,-179.8917694,-0.001891962,0.001084456,-2.285375595,-0.025869455,9.805041313,3.06E-05,0.002907202,-0.002922324,2.056993484,8.70487303,-6.263926308,10.836786,28.85595471
0.000351466,0.654358745,0,0.003784251,167.6842804,302.53125,0.221899599,-179.909256,-0.009459811,0.000472237,-0.4166179,0.000576343,9.802305222,0.000156691,-0.000842912,-0.000430015,1.881899595,6.888354162,-6.286835821,10.964416,28.40623345
-0.00184038,0.50590086,0,0.003661674,166.4914551,302.5299988,0.221832648,-179.9383698,0.001953434,0.001512867,1.265268922,-0.061619498,9.809955597,-1.37E-05,-0.001220413,-0.005246519,2.164507866,3.567278512,-6.474035247,11.149792,28.91707489
-0.000924968,0.27718693,0,0.003584349,165.2725525,302.5296326,0.221797138,-179.9753723,0.008011811,0.001125983,0.636363447,-0.020465741,9.813485146,5.69E-05,-0.000101544,-0.003434828,2.443898916,4.846990856,-6.423184545,11.327837,29.43143234
-0.000367036,0.270079374,0,0.003663069,164.0511169,302.5295105,0.221835434,-179.9944305,0.001468491,0.00058951,-0.664750397,-0.02003634,9.811501503,5.12E-05,0.001225834,-0.001460029,2.250124931,4.459323063,-7.002020404,11.559971,29.14150664
-0.00061556,0.441487491,0,0.00372334,162.8433533,302.5296326,0.221864879,179.9955139,-0.003544868,0.000382687,-0.435604155,-0.020099461,9.807161331,-4.68E-05,-0.000117376,-0.001226576,2.716384888,5.991228589,-6.387195461,11.869338,28.89290395
-0.00083817,0.444776714,0,0.003707494,161.641037,302.5300293,0.22185348,179.9819794,-0.001618755,0.000686117,0.159729376,-0.020067152,9.809574127,-1.86E-06,-0.000194885,-0.002404171,2.697340012,8.238544066,-7.096860094,12.332639,28.87691023
-0.00061556,0.393065542,0,0.00365606,160.4318695,302.5307312,0.221831813,179.9695282,0.002076377,0.000339924,0.41036588,-0.019840257,9.810238838,-4.93E-05,-0.000509684,-0.001266571,2.266545773,5.031632584,-6.52598896,12.977174,29.13389872
-0.00062201,0.330780715,0,0.00366283,159.2180939,302.5317078,0.221834898,179.9550323,0.001550453,0.00050597,-0.114742264,0.009823132,9.811565399,3.53E-06,0.000513593,-0.001762969,2.895744562,5.750379883,-6.49316548,13.172135,29.09295507
0,0.392338246,0,0.003687462,158.0068207,302.5328674,0.221846461,179.9468079,-0.000423472,0.000102662,-0.140063807,-0.01014753,9.808876038,2.48E-05,-0.000106317,-0.000157162,2.13105917,2.439985712,-7.408361897,13.026798,29.04923749
-0.000694801,0.395544082,0,0.00369209,156.7990723,302.5341187,0.221849248,179.9402924,-0.000915245,0.000389684,-0.090115041,-0.040160485,9.810115814,-3.71E-05,0.000209776,-0.001587202,2.357143402,7.803711821,-6.299578148,12.8634615,28.9486166
0,0.850000024,0,0.003652317,155.588501,302.5354309,0.221829638,179.9376984,0.002445208,1.23E-05,0.850450516,-0.029077871,9.805481911,7.06E-06,-0.00141816,-4.32E-05,2.323089123,7.28536591,-5.960416745,12.633779,29.28774502
0.000175733,0.850000024,0,0.003430165,154.335968,302.5370483,0.22171928,179.9292145,0.021255547,0.000121326,3.583647251,-0.00559815,9.807353973,7.73E-05,-0.002410078,-0.000213806,2.891308546,8.715398317,-6.528534636,12.485096,30.92917442
